patient,Q6ZR08_N,Q6ZR08_C,Q6ZR08.3_N,Q6ZR08.3_C
1,3.04527555708969,3.16924399007114,0,0
2,2.85279155430627,2.65624766576661,0,0
3,3.464207601743,2.49359275223312,0,0
4,3.06130552245515,2.87510922939934,0,0
5,2.81734636708947,4.18425132599501,0,0
6,2.32597005339525,14.9420059764498,0,0
7,3.01572933213965,3.49857852274116,0,0
8,5.79381634787265,7.42688308242511,0,0
9,3.9315856980371,2.00465258528151,0,0
10,2.35014330570236,1.22221347450572,0,0
11,1.6182763631741,1.60743367310461,0,0
12,4.01325495759426,2.37784413022074,0,0
13,2.68311333984567,3.89161326123816,0,0
14,3.14693018201321,8.38351793222249,0,0
15,3.16651310613135,3.27402034474065,0,0
16,2.39129907105943,2.56739375675633,0,0
17,1.0220426719206,3.62890297553126,0,0
18,0.862746507743234,0.221867676662608,0,0
19,0.600841017419983,0.771340549338261,0,0
20,0.792857011741815,1.6275323833008,0,0
21,2.50226621347811,4.70956534004878,0,0
22,1.1562617532513,1.49336992245412,0,0
23,2.00516515665776,3.43183881120286,0,0
24,1.41523409926596,1.21894981037278,0,0
29,5.5928975714836,3.7454547297512,0,0
30,3.77130560168111,3.93428034089597,0,0
31,2.49988034181395,1.4485377195491,0,0
32,3.04518910344976,2.62890050509177,0,0
33,1.10748962672354,2.21574475833826,0,0
34,1.5532936087288,2.24275211725019,0,0
35,1.71069087871466,1.92990004439521,0,0
36,0.801357706420176,1.96697120310657,0,0
41,3.70778424333297,4.50441680005839,0.904897327787053,7.03698463453974
42,1.56696735003135,3.15679615269795,0.266169576577341,1.41187262420178
43,1.49024626514101,2.41199612355506,0.437057736023468,0.289102691077846
44,1.24149531597739,4.05291796461167,0.287889206448022,1.37352028448268
49,1.72089009628061,1.88001278414766,0,0
50,1.1528344852383,0.85294235148416,0,0
51,2.22874835204347,0.753043825656186,0,0
52,0.555586273021453,0.721687507490712,0,0
53,1.9915978461999,1.6220531828972,1.12815034730846,32.3333995289213
54,1.85793069141775,2.46062370856162,0.862601060842367,4.14395978161576
56,0.887958511462268,1.20497168440773,0.941521230610591,1.57500116520319
57,1.56411554625204,4.92287814998775,0,0
58,1.8103197895858,1.80371511327916,0,0
59,1.35460473902461,2.77549453472325,0,0
60,2.36940218536572,1.6915798264799,0,0
61,1.97363657859661,1.8560730010334,0,0
62,1.68540227960619,2.69791078672442,0,0
63,1.68932297350191,2.0348063066675,0,0
64,2.61594972606721,1.82073059144983,0,0
65,6.02944167193635,3.65297744501484,0,0
66,3.94033529594109,4.99147614726406,0,0
67,9.46398420241435,4.00164159831924,0,0
68,3.13225973051475,2.37022629422733,0,0
69,0.624537899213386,1.09675934933739,0,0
70,1.08964369211194,2.93824758410466,0,0
71,0.736402578190387,1.78735797253183,0,0
72,0.391966472406754,1.41101876816361,0,0
73,1.26153592487637,3.33981283752363,0,0
74,1.656325157014,2.24290320495887,0,0
75,1.75014781377825,2.59834325019087,0,0
76,2.18272626690294,1.63446618080507,0,0
77,1.32049667291365,1.48125526377687,0,0
78,0.780533699553101,1.03301668475003,0,0
79,1.59587471641995,3.12205133652511,0,0
80,0.589687170421178,0.752892706207273,0,0
81,0.904077839654784,0.636066068152054,0,0
82,1.92828667709182,1.40511386065645,0,0
83,1.29857057903663,6.6820897975227,0,0
84,1.7141191957834,0.909746729714573,0,0
85,1.19556532218453,1.04104411546326,0,0
86,0.813204653713032,0.682453194430166,0,0
87,0.442091315125138,0.544166866568429,0,0
88,1.21713900597421,1.98445335435158,0,0
89,1.38705831596644,2.97729842663942,0,0
90,1.82837663121615,3.27396055343383,0,0
91,4.4513641044565,1.11542800963765,0,0
92,1.90631680030945,1.23609265264222,0,0
95,2.10969051159547,5.20968139347145,0.223029393415289,25.4278907743441
97,1.1568498478746,1.92779374618936,0,0
98,0.978558277694181,1.17070181919753,0,0
99,0.897687033149221,3.35501833614157,0,0
100,0.968409576241406,1.10136387254504,0,0
