patient,Q7RTP6_N,Q7RTP6_C,Q7RTP6.5_N,Q7RTP6.5_C
1,5.24533433279401,8.99962011811884,1.45432001703438,0.445037917874634
2,5.90661128128078,4.89783113955104,1.52997395705371,0.983144153440453
3,6.54450885540828,5.94053239825642,0.922351072019393,1.02952352873733
4,5.45560155257326,6.99520115675108,1.87823694167363,0.484598627422076
5,8.48675509002562,9.63425290414732,0,0
6,4.94400284230453,14.3818338437232,0,0
7,7.27676003207074,7.07799793734689,0,0
8,11.1409764069949,8.81456959717505,0,0
9,7.06306229680679,6.31221038924211,0,0
10,6.23563778427361,7.48934219592988,0,0
11,5.83031876304393,7.57765985733274,0,0
12,7.55414675716987,10.0117151438675,0,0
13,11.9868773692845,18.832702609143,0,0
14,13.9412229451482,21.1041987100009,0,0
15,16.0405291838493,12.4851749207537,0,0
16,13.80248954607,14.302584885161,0,0
17,7.47072657217352,5.96209021465791,1.05036049201834,1.33775616611412
18,5.63948372348911,4.37274933023347,0.79510448475244,0.752587357176763
19,3.46171513471389,5.75765769053569,0.678386550601568,1.04397853119592
20,5.05729937348311,8.30343996247447,0.886515094318466,1.35346532063046
21,10.4705668262075,18.2181955170415,0,0
22,16.9579359406751,20.3193890493481,0,0
23,14.3616735349868,12.2609660749911,0,0
24,10.9215789614887,11.4392914501592,0,0
25,14.0868052530032,14.7636351228796,0.555237477659861,1.15630980435573
26,11.8236705383961,13.9982715713215,0.739528471486338,0.892888586627021
27,9.3189290922544,18.2815563239538,1.53918157327302,1.09054676008667
28,9.05331592770541,11.474706526472,0.552203436295675,0.671978216057486
29,8.69546347421839,11.7415056420094,0,0
30,8.63384860965233,8.44635000950285,0,0
31,8.89443330622156,15.2327372756385,0,0
32,7.38673815692302,9.2982418128347,0,0
33,6.34678492705853,15.8342737515553,0,0
34,10.3136336344511,11.8749162932612,0,0
35,10.1331136638382,10.6755574846787,0,0
36,5.31102673280901,12.2693541214911,0,0
37,1.82148781189035,2.68089423537083,0,0
38,1.49778494402981,2.40809223355016,0,0
39,1.8108285122197,1.2610465426115,0,0
40,0.976241019978417,2.13570777506104,0,0
41,8.96141639251877,9.39590611302028,0,0
42,8.07720258381212,10.174531447626,0,0
43,6.04207420806768,9.89897974834347,0,0
44,5.58685502268887,10.0288465134591,0,0
45,7.43407395582176,9.24854548896509,0,0
46,6.08952957105669,11.4457082604035,0,0
47,11.2900905491494,12.9524922630724,0,0
48,5.40130075993611,11.4442491799975,0,0
50,6.62245529204589,8.33487328640894,0,0
51,11.5517380743277,9.29993813286096,0,0
52,8.89622059241054,11.7145445668278,0,0
53,11.3621048946656,12.6281162745118,1.18308092065878,0.56255652218217
54,7.55228452435452,9.21899497762574,0.604408411774446,0.67402144977009
55,8.20568483734763,9.28755714828395,0.999417264262696,0.895664828236253
56,8.86422446507836,10.008047285544,0.910045345119668,0.838387955521023
57,12.6072523758432,16.2925919167744,0.939687538774266,0.971937005316957
58,13.4136473489839,13.508064414241,1.42071974228612,0.944912586528843
59,11.3702449692515,13.4649065889318,1.03409684490447,0.973936034141268
60,11.951081160137,21.9211428320417,0.821125981706971,0.981553789193602
61,12.0798848278358,13.4292222051301,0,0
62,11.7427131751554,18.9284592948032,0,0
63,13.6933113623221,15.7309707694847,0,0
64,13.8743039559495,18.4711186735891,0,0
65,9.12855878484378,8.11401840061148,0,0
66,9.45189416815601,12.6784999893978,0,0
67,10.0451859982784,10.9077521598969,0,0
68,9.46798096628939,12.8598027420083,0,0
71,9.32186249755473,14.5224445038739,0,0
73,19.8502062642506,24.6659234284225,0,0
74,18.81415959971,21.8446256784988,0,0
75,13.799133434047,20.4893309624372,0,0
76,18.2818864722939,24.6784819148598,0,0
77,15.0353974144086,11.6027350212002,0.993057493600146,0.484042571518152
78,16.5989028919327,18.277641410161,1.44513008155292,0.974097388032704
79,14.991751441859,15.6421384240131,1.3528860498689,1.39900634300461
80,12.041894399432,13.4424171068589,0.817758345650684,0.758869353399416
81,2.61356055245538,2.47025704199626,0,0
82,2.72480744166034,2.85741576936893,0,0
83,3.10303460036621,3.53789581363281,0,0
84,3.42643861987723,2.73717906843013,0,0
86,9.75846967408871,15.0034361713368,0,0
89,9.23657102636955,11.5402590775017,1.18591867693097,0.898080018765474
90,8.91641608715985,15.9020305826318,0.815129147962412,0.960747164879693
91,10.09409830944,9.54976342065777,1.03532832491078,0.551679161946299
92,12.3216545482405,15.1813863977483,1.84927560887906,1.04947589422768
93,7.77980424937988,8.28138444253901,0,0
94,7.06627128613898,8.85980398968662,0,0
95,5.66427514024515,8.95911901900469,0,0
96,6.95732832992411,9.37183082169189,0,0
97,8.10235237085313,8.36665131098923,0,0
98,9.04269875410646,11.2132642862531,0,0
99,9.46698974776069,15.4272093638997,0,0
100,8.58963398408715,14.8844950668718,0,0
