patient,Q7Z6K5_N,Q7Z6K5_C,Q7Z6K5.2_N,Q7Z6K5.2_C
1,0.643704745944921,1.49717804407626,2.35270397797361,3.63686681539091
2,0.795791570493566,1.22650741455086,2.41311278800344,3.70435424487352
3,1.14180130900813,0.882331552154805,2.68131250872897,3.89184649318303
4,0.814715274923325,1.12913017358586,2.47608003339265,3.58710647418525
5,0.852471032864165,0.998924029777476,2.49821538602971,7.77664990641585
6,0.420884582019193,1.04892302105539,1.36544200372346,5.13157108436427
7,0.269603841213694,0.909840420166372,2.14985120262938,2.78215145697515
8,0.885469694626201,1.08071794113098,3.2765015093426,2.93542175643374
11,0.834237497519488,1.38068246927658,3.03431174557816,8.38226308459544
14,0.546381481481481,1.16645925925926,5.08648805121431,6.64234945532731
15,0.60564962962963,1.01973333333333,5.94862446260181,8.50747007435319
16,0.574328148148148,0.969985185185185,4.02151267211049,12.0930271318096
17,0,0,5.45409263161146,7.15810475136127
18,0,0,3.84271865457337,2.3799020309895
19,0,0,3.06686487805872,3.5531106966777
20,0,0,3.8094212828154,10.7074636453612
21,0.613052577967707,1.28938970722818,6.49590218284908,7.48296044799252
22,0.552445070467369,1.57776080088492,6.42461228523012,9.75777615202772
23,1.24569277659735,1.72900104248733,9.73832129956282,11.9179949201065
24,0.952117204224063,1.95354167164037,7.67403394155889,10.095539566312
25,0.954287391672727,1.23749608053745,5.24488112412537,8.11622910406256
26,1.07311215333605,1.36443329575097,4.91827743894642,5.59974363807047
27,0.789022836289887,1.50169120639389,3.76615309695738,6.68280881279529
28,0.673213559005424,1.52731615218856,5.18433113420217,7.30658254892759
29,0,0,3.49015220778274,4.00617337293449
30,0,0,3.93946355706584,3.61046113834768
31,0,0,3.16032870290411,4.90952065276817
32,0,0,3.05213936116481,3.76217496220912
33,0,0,0.82800132223572,3.19551413955594
34,0,0,1.34895476775622,1.45028475911865
35,0,0,1.64715511295777,1.99241679864612
36,0,0,0.710882682836289,2.12281221651839
37,0,0,2.51338746161173,3.0556809987497
38,0,0,1.76253293605307,2.43123029785648
39,0,0,1.90285503437115,1.69901788479376
40,0,0,1.49817116600396,2.4872601754837
41,0,0,2.61709770092249,2.5369123274048
42,0,0,1.75441313643338,4.79847084872465
43,0,0,1.47265201591469,2.31480651304818
44,0,0,1.08716794874153,6.18539000687871
45,0.898447700776731,1.52134338731581,1.99239250500505,2.13000427861197
46,0.789231323990846,1.62277500385312,1.21565108094324,4.031294785257
47,1.27848184089078,2.75732311262457,2.12293988830836,3.22417886817079
50,0,0,2.20157818221257,3.62981250245576
51,0,0,3.6451293176278,4.6085605362094
52,0,0,2.5868962301908,8.41772623993776
53,0,0,4.62288185954356,4.86955578346254
54,0,0,3.5940329578828,3.93634473342535
55,0,0,3.5803114867875,4.935972908764
56,0,0,3.23553910380756,2.91098879195543
57,0,0,4.92089608572861,9.38204680821965
58,0,0,5.49944196021727,10.3326578001041
59,0,0,4.62061909814605,6.79285854437773
60,0,0,6.55067696205827,7.52677476516398
61,0.955670082244543,1.27276503136866,5.88648072002497,7.86294638479322
62,0.918884821860528,1.68964546332752,3.9574695559271,7.70962270349727
65,0,0,5.9523455037128,10.5076602569693
66,0,0,5.45861864637606,9.57602073549265
67,0,0,5.41034867302451,4.09515169012702
68,0,0,3.9299640788329,7.95015162490151
69,0.922738697624307,1.84589035203242,3.43795517599019,3.93763247775212
70,0.990543024934913,1.9480309770531,3.31768915384531,4.48384137503678
71,0.55354739142347,1.94300137519903,2.85519461769969,3.45571149602642
72,0.420686487709903,1.42787749478179,2.08997337630479,5.14230905666112
73,0.658544884951928,0.77620179323755,4.54485678204451,6.29993090688063
74,0.941352490007562,1.19877930214972,4.09621704466383,12.2732605206628
75,0.250357027114616,0.851182888624824,2.54162055806022,6.31814371078614
76,0.339167656908286,1.30553635086961,3.61400183495646,7.09424748606471
77,0.862578804058971,1.04737646876048,7.24025732912729,7.1151216079202
78,0.742675617553987,1.49132848720737,5.79094330875927,11.7642207700207
79,0.857164116863046,2.19150101801352,6.73817752300972,7.83813992073103
80,0.579085341422929,1.68000850388808,4.57993118037808,5.9620798442263
81,0.491140461576071,1.615496428831,5.82100351886788,10.8509277916722
82,0.814470997879102,1.52124531717663,4.83787592194929,5.89247457306948
83,0.655192235267689,2.0175816479574,5.31720207993302,6.24117248693807
84,0.736499924017681,1.24027591492623,5.12456833806981,6.55973714063193
85,0,0,1.70357608885405,1.72212806498664
86,0,0,2.21437657546867,3.16517114584566
87,0,0,1.1591211569019,1.91221756628692
88,0,0,1.47136614792991,3.50530097193466
89,0,0,3.10074189090313,11.2806031220462
90,0,0,3.64534011799147,8.76715055836101
91,0,0,3.5269733994016,4.00010295325279
92,0,0,3.81048679650874,8.96119181583684
93,1.18480073073668,1.06009665360694,4.74783248562932,4.6431630734449
94,0.775125444471121,0.794684185747684,3.61665493705509,4.2076497449537
95,0.660859313069966,1.2879140069935,2.73646298108016,5.70395644319209
96,0.869834175889177,1.62123482158785,4.60397955992174,6.06202773440191
97,0,0,1.76163398491513,2.21374862469057
98,0,0,1.82299640910308,4.04310169015112
99,0,0,1.99806246704138,2.35986525785389
100,0,0,2.25311393078791,8.06692765821828
