patient,Q86US8_N,Q86US8_C,Q86US8.2_N,Q86US8.2_C
1,2.12883511364614,3.95472059690289,0,0
2,3.32802722692838,3.87449689911282,0,0
3,2.79282294060655,2.78723948289547,0,0
4,2.16024131985408,3.50512083925859,0,0
5,3.94412032212705,7.0530524827059,0,0
6,2.90273332409141,7.03432198536624,0,0
7,3.73790976096534,5.83757065913344,0,0
8,5.09142028446645,5.5635276335746,0,0
9,3.11861984363336,4.8988940121942,0,0
10,3.1587465859759,5.3927075474079,0,0
11,2.88813584730987,5.38361178932773,0,0
12,3.63941754153559,5.35894838203935,0,0
13,3.36484814637467,5.22640887237295,0,0
14,3.81619243718758,5.92272604609041,0,0
15,5.97671746259349,8.96447216863,0,0
16,4.22468741715919,7.2910575178517,0,0
17,1.27698734740699,1.39651069221155,1.7073810674584,1.75593454394808
18,1.01836252503981,0.436739603129762,0.83792722502244,0.910239591244908
19,0.418432722105227,0.888489393394627,0.689473175447076,1.4638265552717
20,0.733015734415395,1.42952899481227,0.816398536214873,1.22873714009528
21,2.49740506384519,5.87432847469517,0,0
22,2.84710611605629,3.96590623607756,0,0
23,2.94124642138034,4.07878022338617,0,0
24,2.70173632641523,3.8042020184714,0,0
25,8.1024771252908,11.1534310158308,0,0
26,8.11741740822638,9.36858779375144,0,0
27,7.32350757889576,12.208950157326,0,0
28,6.76618460088899,11.0699875883088,0,0
29,6.16758175581857,8.90699236125554,0,0
30,5.40798409645977,7.39192889319756,0,0
31,4.95766714268093,7.4913296479895,0,0
32,5.90058104654707,8.63988218894388,0,0
33,1.91778624439143,3.92683056655385,0,0
34,2.47818074065842,3.71925778960922,0,0
35,2.0647639962776,2.70616147906146,0,0
36,1.11592851006146,3.08085660878079,0,0
37,3.4776240827256,5.89445740544554,0,0
38,2.71124137034345,4.01485780189468,0,0
39,2.86897237587724,4.30722904886366,0,0
40,1.93366029086707,5.34946537900279,0,0
41,6.52824212909434,7.37503389249542,0,0
42,5.69036996015669,8.2944457488676,0,0
43,4.68134615280867,10.7935939262484,0,0
44,3.22829926981064,12.8047457731006,0,0
45,2.87292261271006,4.97785105718762,0,0
46,1.5324590672763,7.18381103167058,0,0
47,3.35494768931211,6.13387352820691,0,0
48,1.54781503130123,4.32395143125013,0,0
49,0.981408482707212,1.80931750273003,0,0
50,5.79227470815424,2.78675859634092,0,0
51,2.40069624385504,1.44354271905931,0,0
52,1.31288253098848,1.23187476012973,0,0
53,9.64616201829312,10.895973175217,0,0
55,7.25778520046929,10.3794101510732,0,0
56,8.02241108675875,8.49794481060776,0,0
57,7.00868907941411,7.78850478292788,0,0
58,4.904549220505,7.39913574164502,0,0
59,6.3939757429113,8.1435830420836,0,0
60,9.23901399806442,10.9532117725976,0,0
61,3.24404721236672,3.3623428045249,0,0
62,2.67989131165144,10.3406411596438,0,0
63,2.95452458490939,5.56944049398329,0,0
64,2.69695180629372,5.81686155100498,0,0
65,8.18329459296614,12.3164133448142,0,0
66,10.3481945965014,16.004352015452,0,0
67,10.6924936662402,9.95610747094721,0,0
68,8.23885090912522,10.9372295850679,0,0
69,7.8668784604254,9.53061275624064,0,0
70,8.94283580091777,12.1438779312554,0,0
71,7.92863997601697,11.480592131368,0,0
72,6.20302663126657,9.73752698188356,0,0
73,7.18428428400192,5.58727616823494,0,0
74,6.75491524365491,6.39191579402972,0,0
75,3.3806724097019,6.37334122276627,0,0
76,5.40508645852642,6.2608773700083,0,0
77,17.1716457183683,17.7524688249149,0,0
78,19.5318288956074,22.832129073628,0,0
79,16.1608153230983,18.7729456766167,0,0
80,13.5953168631934,16.2580562497952,0,0
81,5.67566607986953,12.6833769916237,0,0
82,5.50503053614475,10.3346530453165,0,0
83,5.30387622784544,10.8951485847044,0,0
84,6.42469132454934,7.34372167472777,0,0
85,4.75186076800806,6.63651870633163,0,0
86,5.35338747741754,11.5433151058096,0,0
88,3.82991327689017,10.8263295334209,0,0
89,7.35035377610243,18.5813096402872,0,0
90,7.47975709791507,14.5645811640301,0,0
91,9.76796154214736,12.7705301463638,0,0
93,4.50276013686442,4.08080073963053,0,0
94,3.86708288773889,4.91311397608823,0,0
95,3.58644616080615,5.44284842484831,0,0
96,4.04084006512308,6.81760499369904,0,0
97,5.37465232915237,6.08633929766935,0,0
98,6.15132699356747,8.5210566487375,0,0
99,6.96456191238544,12.7717821274819,0,0
100,6.93643646185001,11.4254144105298,0,0
