patient,Q86UW7_N,Q86UW7_C,Q86UW7.2_N,Q86UW7.2_C
9,0,0,0.628567442386309,3.22962608380851
10,0,0,0.516028158274229,1.48520103001649
11,0,0,0.537813175407093,1.08661327354972
12,0,0,0.753425069427489,1.27478371938906
53,0,0,0.69020642994319,1.28569132737105
54,0,0,0.552326655899204,1.09398629157325
55,0,0,0.490735160587871,1.64641339022411
56,0,0,0.538107979975733,1.76644247844499
57,0.63174682563616,1.75272202158984,0.844133885714744,1.19034187280804
58,0.715122451131101,1.56662425191908,1.14201918376832,1.49711655835397
59,0.718476403425543,3.04631052989014,0.893428851511436,1.31080803143339
60,0.798072703290453,9.42618730646739,0.707622489509294,3.52746815392957
65,0,0,1.05215716600746,0.818624674294777
66,0,0,1.08383861767994,1.39184616369735
67,0,0,1.20376217238611,0.809206929332434
68,0,0,0.789184370089794,1.43448707276587
77,0,0,1.1149180708629,1.38322007357514
78,0,0,1.25905641010272,1.585461792626
79,0,0,1.71215038698125,1.89572110377691
80,0,0,0.836081786781949,1.51095010826484
