patient,Q8NI08_N,Q8NI08_C,Q8NI08.5_N,Q8NI08.5_C
5,1.15323078483006,1.29275828236227,0,0
6,0.662999036743896,1.06970037665401,0,0
7,1.15226901983473,1.26295698748364,0,0
8,1.08557620906534,1.30901136522914,0,0
9,1.78693899741872,2.01575999272107,0,0
10,1.69179754120766,2.35645343478974,0,0
11,1.70511996123289,3.31523762784927,0,0
12,1.66088130379607,3.49502648922745,0,0
13,0.675317689773415,1.10362585038172,0,0
14,1.17690995886383,1.4372092810034,0,0
15,0.9084827295343,1.16756569256065,0,0
16,0.940024021564397,1.02718318123751,0,0
17,1.13574268355321,1.16348459523654,1.15189617184276,2.26086279516984
18,0.944069229917904,0.744799100998607,0.802581689932499,0.742881278076657
19,0.709796788226714,0.799433016166701,0.852315813240114,1.01943274448588
20,0.938802353068041,1.18910528361962,0.950001167833202,0.88393295080308
21,0.897605137965012,0.822058449996503,0,0
22,1.00993554229508,1.40284163626614,0,0
23,1.04438170053979,1.1690686456765,0,0
24,1.21001211112788,1.36425045370715,0,0
25,1.93729670613231,2.68631514871288,0,0
26,1.69707868980594,2.91510997513903,0,0
27,1.1108416376473,2.37885638538698,0,0
28,1.7678944942308,2.00885641035104,0,0
29,0.997836375333797,1.43755012470586,0,0
30,1.13023610388924,1.26744780420739,0,0
31,0.898655556241022,1.19540483136066,0,0
32,0.570060017450007,1.16828901795236,0,0
33,0.49149432377907,1.36190747460886,0,0
34,0.83006744741588,1.46428088087647,0,0
35,0.906426545892884,1.15886809199034,0,0
36,0.274079482829707,0.973735478977367,0,0
37,1.36446342974533,1.11456125476897,0,0
38,0.784327616004174,1.45003586917534,0,0
39,0.934392017478071,1.03061923239965,0,0
40,0.825145922326931,1.2862197150031,0,0
41,1.20083577022776,1.07410680516222,0,0
42,1.46087838897447,1.44647472855917,0,0
43,0.91699122718006,1.16084794701254,0,0
44,1.25903526655166,1.48894403291422,0,0
53,0,0,1.0069128319993,0.968377307113761
54,0,0,0.797733785697816,1.10663504507175
55,0,0,0.932252928840432,1.90615632925986
56,0,0,0.882293004820097,2.18365778407282
73,2.33680797425809,2.73263840062377,0,0
74,2.0546456426881,2.34099856294512,0,0
75,1.02137622517146,1.76107358347006,0,0
76,1.57408541522996,2.14012175382231,0,0
77,1.84009781793182,1.6018628100367,0,0
78,1.61925405978948,1.51681677345229,0,0
79,1.44356476670926,1.41022002756231,0,0
80,1.0135441420683,1.11359719479769,0,0
81,1.24126544524925,1.18488996463057,0,0
82,1.2102093931756,2.45862444237966,0,0
83,1.05210830539884,1.65418812018419,0,0
84,1.14721690340399,0.954386784462092,0,0
85,0.740579922347156,1.26918474611357,0,0
86,1.39185402477015,2.3329075385866,0,0
87,0.575534809982783,1.23214060314752,0,0
88,0.68847981177516,5.12932884313419,0,0
89,0.603379648825078,1.42306839329277,0,0
90,0.854364616378521,2.37896421718462,0,0
91,0.62445400109923,1.29334001870619,0,0
92,0.974033111880358,1.68461753560443,0,0
93,0.826353108647093,0.918967917526512,0,0
94,0.865935817147359,1.15929102523356,0,0
95,0.744638372733255,0.983516717175561,0,0
96,1.08429650884316,1.31818141123491,0,0
