patient,Q96HC4_N,Q96HC4_C,Q96HC4.6_N,Q96HC4.6_C
1,9.31729370975161,19.2802550875395,0.684597564204395,1.25253508075192
2,10.0140877115239,10.4486582667186,0.835888271114641,0.433864177918983
3,13.6891510358094,13.3171083687528,1.05880990203865,1.1981202012179
4,8.75826610616494,22.7296048877027,1.02353719883505,0.924027005559968
5,6.01613439919354,20.4221728670767,1.07083045145347,1.13858540548889
6,4.37316433862679,14.5532817971186,0.678362062597788,1.11027471309907
7,4.15292303568517,6.47916320503226,0.491511492824958,0.399505771593954
8,6.5534742898611,12.0206580997365,1.41229124557645,0.810843478669612
9,9.20460893227338,16.1308214128111,1.69329860694642,1.19201864258666
10,6.49329357510874,9.30788895126457,0.738842720309796,1.19901989342198
11,5.44333381574134,14.0261813266888,1.16023029077637,1.16611093024451
12,7.67836751099776,12.8269147542206,2.03090762666849,1.49725672966536
13,8.11042784909504,19.5333634589946,2.09677559319865,1.85280870267523
14,9.91002039227155,37.4799751236098,2.97537471805802,3.10835928246142
15,12.2554253609353,14.7693590953526,2.87031862099648,1.95821848308365
16,10.6190936518879,11.3641060786583,2.97844436232303,2.08847703495542
17,11.733485295349,14.5518693938893,0,0
18,7.93867599223225,11.1618434182997,0,0
19,6.88822926703744,12.3770742757764,0,0
20,7.96195256248994,16.5054344289499,0,0
21,9.04926220379556,11.8273607502656,0,0
22,10.0035504927372,11.1790896499811,0,0
23,7.0735861655668,7.96097221363594,0,0
24,6.34877985106888,14.0752025362827,0,0
25,8.53266136733931,18.1858463392733,0,0
26,8.28546311118636,17.0781290723654,0,0
27,6.03176937486383,10.9416790541177,0,0
28,6.81224231203729,11.0345294574619,0,0
29,10.6341450647679,24.3178350273233,0,0
30,10.8650812568965,22.2385800796846,0,0
31,9.17834214433539,19.3353256899811,0,0
32,7.4386941019276,31.3926664496488,0,0
33,5.49452454009454,18.0005493863201,0.382494786235662,1.35706717346699
34,8.104242576844,23.5140458234008,1.52805341585657,1.4904974940294
35,5.70489199265301,8.95838211433242,1.23337902384877,0.73753742137307
37,10.6223675297984,30.7628394240812,0,0
38,7.23674133992623,17.7357986553639,0,0
39,9.84982845779466,10.669083456578,0,0
40,5.60847307035967,16.9867256519302,0,0
41,9.93469071610858,13.8942168775195,0,0
42,6.36908875964696,23.4224048893687,0,0
43,5.50700678787521,13.1809466424613,0,0
44,3.53888455479858,16.3455547144425,0,0
45,6.27629622822629,10.4763622936267,2.16271386480141,2.13264969126442
46,4.88483088762922,17.8707987686584,1.42145712209313,2.51046325012459
47,7.36580309706342,12.1397979398027,3.65397855414955,2.80294402981628
48,3.9644097064626,14.2657164531374,1.35602558427866,2.22911087249263
49,4.3215642558432,9.72490006542132,0.587903096517531,0.292916307929816
50,4.29716897989748,6.39915282050562,0.714811626042811,0.458914585992934
51,8.10412907184873,11.9642483381169,1.97136240833655,0.922714722560342
52,6.43289945442904,18.4687580758705,0.434350859484013,0.923741946976219
53,6.56285062238045,14.7653227580942,1.53341417407707,1.16003772568041
54,6.46516062313566,8.18662220928458,1.15214227970897,0.384211802748585
55,6.09755080026853,13.2569770240092,1.33707895445971,0.460423964789365
56,5.33663877361403,5.74999256459716,1.50353004580975,0.442065031887182
57,10.4444355322055,41.873983811928,0,0
58,10.9431939057221,22.6517282542776,0,0
59,10.443284402652,19.6990795491034,0,0
60,12.6297116340227,17.7648720076181,0,0
61,9.33811889414337,17.2806777085832,0.855567522384221,0.983844781301741
62,6.8954378714266,15.3945934055027,1.08555835972287,0.74456188011381
63,8.25804249860295,28.4866920091672,1.50818209583822,1.00224244080439
64,9.0878453666584,30.0167621954324,0.973500618881512,1.24607371923677
65,10.8184313118065,23.6731259257288,1.47591774192041,0.504074596604659
66,8.86078871651807,12.3428105910904,1.69298975044147,0.568288968410431
67,10.7840294543736,14.2152717298877,1.96537387063319,0.797346513561745
68,6.84839926290217,11.8261049118793,1.52248456025937,0.730948621401676
69,8.05872249845647,11.4405641097771,0,0
70,7.09939536176216,15.5174785741411,0,0
71,7.49263164811031,23.7611628930237,0,0
72,4.43283440576367,10.2480182681812,0,0
73,6.83206558435805,11.8156910395755,0,0
74,5.89284093828916,12.9009269295697,0,0
75,3.11413499620885,9.70458885742841,0,0
76,4.55550844180259,11.7256763376114,0,0
77,9.96416179902374,9.75323750665345,0,0
78,6.92843813944176,12.3236801595799,0,0
79,7.50516212478658,10.9890232688562,0,0
80,6.37090644670845,10.5928835624865,0,0
81,12.1667560804105,12.0087584159222,0,0
82,8.68500185191255,10.8193889263998,0,0
83,8.23220239395112,12.8004113037825,0,0
84,10.1478561143121,13.036736442724,0,0
85,4.33770894858134,16.5640857955193,0,0
86,6.04900573507906,10.8061504148505,0,0
87,3.62401826857117,9.44357334313375,0,0
88,4.34384509378069,11.2298867340044,0,0
89,5.40491714358353,18.203338514833,0,0
90,6.64739244620573,14.1799001031785,0,0
91,7.43400284509847,11.485074269155,0,0
92,7.64753106790666,17.3473290732887,0,0
93,6.54328111503682,6.00784272347724,0,0
94,5.26106340963444,9.28440957303681,0,0
95,5.2150090871475,13.7633171943181,0,0
96,6.03125780252748,10.5476513922908,0,0
97,4.35186814862343,5.19038761541954,1.15523013416238,2.95541008628978
98,6.65843498793134,9.78110849709291,2.09924936638259,1.75049635207972
99,7.02165157759535,20.7046045259059,2.64693088875145,2.16561598133777
100,5.54798778714301,13.7800877090168,2.47445681356664,1.69588978262496
