patient,Q9GZY8_N,Q9GZY8_C,Q9GZY8.2_N,Q9GZY8.2_C,Q9GZY8.4_N,Q9GZY8.4_C
1,0.617275749062575,1.81711855644782,0,0,0,0
2,0.724298890528911,1.08734833368811,0,0,0,0
3,0.907332380509052,1.52479175487309,0,0,0,0
4,0.784515123941231,1.51970404747591,0,0,0,0
9,0,0,0.76210905691939,1.09181990239612,0,0
10,0,0,0.584446578063766,1.04471945790847,0,0
11,0,0,0.723730425914857,1.33483300500394,0,0
12,0,0,0.88301456103115,1.25491803550377,0,0
13,0.698556737066745,3.78886415483111,0.628778608026008,1.34990482017812,0,0
14,1.19076397576471,2.47432052885913,0.955112516146577,1.30172930611438,0,0
15,1.01979542276842,2.37919150293129,1.15202040803713,2.35757019511863,0,0
16,0.821802867515392,1.23115203473398,0.824357690715023,1.62428383364545,0,0
33,0,0,0,0,0.703904849662973,0.894274948877837
34,0,0,0,0,0.886953750220898,0.640989876549443
35,0,0,0,0,0.716922067102573,0.582555981924213
36,0,0,0,0,0.526012345055666,0.65398500416551
45,0,0,0.435231104338527,0.688208331692362,0,0
46,0,0,0.356467498159587,1.29961161989645,0,0
47,0,0,0.640781728564115,1.52630048259712,0,0
48,0,0,0.213995316414664,0.832719357506612,0,0
53,0,0,0.994387062503689,1.68371598890397,0,0
54,0,0,0.9943575517913,1.38385764032344,0,0
55,0,0,0.752977630880009,1.82393318774715,0,0
56,0,0,0.921265419347223,0.963872985893879,0,0
57,1.92523138603134,2.63765127227572,0.984922291811645,1.84755774265169,0,0
58,2.19650263824529,2.36427855360407,1.20091460383736,1.03994764224409,0,0
59,2.25255101025869,2.66173374978292,0.831742717964012,0.711316565596315,0,0
60,2.32841276019662,3.16333647701713,0.762323955330218,2.01273320740962,0,0
65,0,0,1.10531154135262,1.56099790748227,0,0
66,0,0,1.15185482396441,1.59975519574183,0,0
67,0,0,1.15144343091644,1.8293379111391,0,0
68,0,0,1.18956077443472,1.12360583467078,0,0
69,0,0,1.39363926666775,1.1157835016453,0,0
70,0,0,1.29220469760581,1.36771652266943,0,0
71,0,0,1.59208960788446,1.69032760046036,0,0
72,0,0,0.684913520610786,2.65454604399345,0,0
85,0,0,0.740864347050092,1.0848047205806,0,0
86,0,0,1.31199176812333,1.67997668849085,0,0
87,0,0,0.512419752861579,1.11476365225785,0,0
88,0,0,0.859972499704053,1.90282925230156,0,0
89,0.855082448933014,1.19588040625357,0,0,0,0
90,0.889293050325231,1.22856898322492,0,0,0,0
91,0.954827114002054,1.11653971242725,0,0,0,0
92,1.08999343832021,1.22557628665982,0,0,0,0
93,0,0,0,0,0.7725349642111,0.699056450641687
94,0,0,0,0,0.828729035872678,0.877244333205921
95,0,0,0,0,0.638597556825025,1.15695540394071
96,0,0,0,0,0.760135825029715,0.944355721249758
97,0,0,0.491913641913642,0.794132719132719,0,0
98,0,0,0.677221852221852,1.27664002664003,0,0
99,0,0,0.714253339253339,2.63894438894439,0,0
100,0,0,0.663307988307988,3.48860398860399,0,0
