patient,Q9H0A8_N,Q9H0A8_C,Q9H0A8.2_N,Q9H0A8.2_C
1,5.87506246590042,10.7573384838375,0,0
2,7.77621576463387,7.40862810039141,0,0
3,7.35081551641999,8.90097904650523,0,0
4,6.66075345480836,10.4334421963947,0,0
5,4.3877368632389,6.7180271039683,0,0
6,3.0795786339306,6.01448875702877,0,0
7,4.05990602550003,4.61972951063661,0,0
8,5.13703325974634,7.03828141585737,0,0
9,6.53403973262663,9.45042857310323,0,0
10,7.2225669332795,9.3156512823677,0,0
11,7.87620252894579,9.43378623998051,0,0
12,7.03790351910057,8.97789821097649,0,0
13,4.05034543090772,5.89587858741313,0,0
14,4.41500448186393,6.54550797989073,0,0
15,5.06989999967927,5.26279031849343,0,0
16,3.82111792394181,5.23126402008691,0,0
17,7.98917192982764,7.59256186042885,0,0
18,6.15540439858268,5.33844903088149,0,0
19,5.00146429758791,5.56137771692965,0,0
20,6.31072856785809,8.1904947365586,0,0
21,4.10684750980705,4.05447675666706,0,0
22,4.33231392443463,4.7561794782717,0,0
23,5.66608910055681,4.0819481268466,0,0
24,5.36781881962266,5.27636169474547,0,0
25,5.08201165885868,7.11682272908053,0,0
26,5.67459789723607,7.88577879807273,0,0
27,3.71875553694844,7.15307948878584,0,0
28,4.79954076076072,8.06517557178794,0,0
29,8.22995748551844,10.5601044996474,0,0
30,10.0130827108854,17.5007963201896,0,0
31,9.16218954679314,10.9298904721394,0,0
32,7.22746820353042,10.6508396633551,0,0
33,4.22991176243313,8.72228185934845,0.505153226826287,1.05785072955119
34,5.55878646093108,8.64554456217247,1.17094772402912,0.786653699544143
35,5.18595746206383,7.32224186892237,0.944362312644149,0.93790685350564
37,7.75741829526766,8.9238645800006,0,0
38,5.99678742088196,10.3975729570201,0,0
39,7.06376900820242,8.53479928988381,0,0
40,4.96751749806338,9.3809811012559,0,0
41,7.7176613122813,8.19848870644678,0,0
42,6.03103024801002,10.7569373622936,0,0
43,4.63717934775231,7.39513132738254,0,0
44,3.67806019211561,9.79646296570386,0,0
45,5.21167534270822,5.25517116668485,0,0
46,4.60257315294806,8.30148694893942,0,0
47,5.62814129428456,9.75676776412738,0,0
48,3.98932386190659,7.10522470217449,0,0
49,2.47915487871616,3.8011893599896,0,0
50,2.86078635837445,3.38131321387881,0,0
51,3.20904590572491,3.68668182311996,0,0
52,2.81318085282962,3.63455915195267,0,0
53,7.64855641367842,7.92097404888746,0,0
54,6.93972215178998,9.64162719554092,0,0
55,6.66637189100937,8.76501279723129,0,0
56,6.80881116789497,8.57215877430306,0,0
57,6.128132904593,9.89193727954948,0,0
58,8.11884213653654,9.48944191755015,0,0
59,7.04126194064422,8.77019271918846,0,0
60,8.76753800603095,7.4449239475443,0,0
61,3.93439698899289,4.53639544567373,0,0
62,2.37068413530505,5.40315668825673,0,0
63,2.6788742723576,5.01063700812119,0,0
64,3.37358157707515,4.83982247947315,0,0
65,6.11616900586495,6.97471603335606,0,0
66,6.65378421792071,7.87802687642887,0,0
67,7.54340371580075,8.3234758605604,0,0
68,5.76835567500552,8.22886931484133,0,0
69,5.69226065794622,6.19901228519805,0,0
70,6.03059424617982,9.06166627981601,0,0
71,5.26150012230876,8.0534963114666,0,0
73,5.61823126457538,5.38761570361213,0,0
74,4.9862775846312,7.72703727498618,0,0
75,3.85396374556521,5.61957695002465,0,0
76,4.74845311109764,7.4265295774149,0,0
77,8.09318301303016,7.47629415440575,0,0
78,7.12429185248962,8.82485136995421,0,0
79,5.61120567646186,8.70833663092036,0,0
80,5.25258236086115,7.92267324364943,0,0
81,10.0076243464497,14.6919265680049,0,0
82,10.7776337809589,11.8966341834628,0,0
83,9.02828365904261,11.2616513021239,0,0
84,10.1928051966393,10.6931232683491,0,0
85,6.07820087369388,9.34127755623545,0,0
86,6.96002807177257,12.5077437146267,0,0
87,4.20497144789512,8.04109407353113,0,0
88,5.11488111033716,14.7143748280487,0,0
89,4.67349388156155,9.7164093454253,0,0
90,5.54374633205287,9.28988511195905,0,0
92,6.58494989930146,10.4031347352964,0,0
93,5.60777179695913,5.79966209917042,0,0
94,5.2150709532853,7.08935926987958,0,0
95,3.93917059575564,5.85305519090798,0,0
96,5.97791004189413,8.27680256303733,0,0
97,7.0805563313876,7.8335415791293,0,0
98,6.99067153830551,8.33499232430788,0,0
99,6.89516523790922,10.4461714128397,0,0
100,8.45205255113127,11.0261762200293,0,0
