patient,Q9UPN9_N,Q9UPN9_C,Q9UPN9.2_N,Q9UPN9.2_C
9,0.800637140199036,1.31454427560542,0,0
10,0.837726593555299,1.28263651997406,0,0
11,0.69851427927039,1.26329113924051,0,0
12,1.00891432437766,1.36347438752784,0,0
13,1.54133767043969,3.75234633884091,1.2367754366559,1.20996354510476
14,1.75359169272318,3.13859800475454,1.42913893894251,1.75508019482257
15,2.31476674626236,2.16296649610713,1.19001147764239,1.08147936700505
16,1.86569337584287,2.73158575103785,0.905380813901625,1.58451529262041
17,0,0,1.88060709765831,3.19361588114595
18,0,0,1.65544754006496,1.56013120584979
19,0,0,1.18145762840938,1.87446366515689
20,0,0,1.52703393656948,3.2492255598441
21,0.753675680597287,1.71527815715196,0.711180954814531,1.36922618287126
22,1.11486843303287,1.29430028225439,0.742953877603169,1.24914611813807
23,1.08026040244013,1.04435035964673,0.830812997742856,1.13225160768281
24,1.0327597195666,1.93013748520441,0.807189642689834,2.0735999318598
41,0.986374418753748,1.07462956747359,0,0
42,0.946278326915897,1.68172030034356,0,0
43,0.590663101563944,1.78520004676369,0,0
44,0.64524462311861,1.37184297960123,0,0
45,0.879409723083026,1.05593499764484,0,0
46,0.679233706026725,2.31701663485138,0,0
47,0.842495723529266,1.47484319607308,0,0
48,0.731189726553784,1.22136623943278,0,0
53,1.15844587097145,1.050475493782,0,0
54,0.845630964220839,1.36878919638674,0,0
55,1.0012657915718,1.54099438613218,0,0
56,0.7763346292628,1.24216072265192,0,0
57,1.0024883938715,1.93959989420999,0,0
58,0.940711021954753,1.55047231245977,0,0
59,0.738347713122785,1.2393132964399,0,0
60,0.946506185222334,1.91072387976533,0,0
61,0.732320217096337,1.46782451379466,0,0
62,0.689956279210011,2.36093472033771,0,0
63,0.651276948590381,1.41735564601236,0,0
64,0.843570028644655,1.35069500979949,0,0
65,0,0,0.861430931292387,0.714100127005736
66,0,0,1.95739082072269,1.61924012385135
67,0,0,1.7717341678634,1.26334597856674
68,0,0,0.852938979139515,1.02674176330447
73,0,0,0.927949566941654,1.18657051461923
74,0,0,0.852526329573302,1.47479282413903
75,0,0,0.487330003554259,1.36532166039995
76,0,0,0.758707933479245,1.37937968834764
77,2.14339657759073,2.79906474726069,0,0
78,1.97330382115574,3.35701159966925,0,0
79,1.70256456426668,2.94988793627068,0,0
80,1.52303943681387,2.9354079511367,0,0
81,1.0630272489735,2.17009611795446,0,0
82,0.740911954087346,0.743730169839492,0,0
83,0.741209406494961,0.819537374020157,0,0
84,1.02861375513251,1.82466638671146,0,0
89,1.17178055478828,2.35051426692595,0.538803331797203,1.22955284860407
90,1.28823481463777,2.65202013724393,0.671741627518279,1.4574308569542
91,1.36580104415145,2.31912082116537,0.817469925096467,1.32174816180264
92,1.57890863652134,3.82976191880422,0.784599035677193,1.73386203718352
93,0,0,0.667229345269706,1.02040184103381
94,0,0,0.626982651796778,0.86623422603242
95,0,0,0.442859039526591,1.1426611536808
96,0,0,0.620308904230837,1.02034494095036
97,0.814670627546199,1.19127973485619,0.977117076251212,0.827369675623271
98,0.650117786429014,1.10806057071029,0.88150065373429,1.09602778593093
99,0.764985553641432,1.03153782504307,0.949284450018233,1.50269498625824
100,0.817347386316879,1.69783146367159,0.783469416797858,1.74649340484386
