patient,Q9Y587_N,Q9Y587_C,Q9Y587.4_N,Q9Y587.4_C
1,0.982272254834603,3.24910753201206,0,0
2,1.25028063144379,1.53150280194991,0,0
3,1.59816672404557,1.90766123647903,0,0
4,1.0860680495487,3.21629448061771,0,0
5,0.731086617808298,1.32318656587224,0,0
6,0.31893309865928,1.5564251639833,0,0
7,0.437756073633793,1.28759834189317,0,0
8,0.654401581164522,1.2152749725893,0,0
9,0.356427399839655,0.848172583978758,0,0
10,0.388547849687769,0.574821450899917,0,0
11,0.421631839478659,0.954235530351508,0,0
12,0.437188964157785,0.623777370786352,0,0
13,1.59990629670651,3.1644810009948,0,0
14,1.78911663916439,2.65808721341019,0,0
15,1.9659627316355,2.3384023695961,0,0
16,1.2777440742008,2.78310144779854,0,0
17,3.61210788015887,5.61091756232812,0,0
18,2.41831482009054,2.39123757415625,0,0
19,1.88810872814165,2.66883903988997,0,0
20,2.60280136403488,4.90355731774997,0,0
21,1.23026789167386,1.8692189349297,0,0
22,1.50459323460613,2.32373152134434,0,0
23,2.02396755989147,2.25156067700291,0,0
24,1.78397163790207,3.16315977123476,0,0
25,1.38190203934004,3.68790407594571,0,0
26,1.40838960127285,2.51868907973381,0,0
27,1.06981046054838,3.16838031259792,0,0
28,1.36290035635437,5.32181334909944,0,0
41,2.14336847203127,2.5774391604104,0,0
42,1.17279540917517,2.89382950667389,0,0
43,1.17493272546106,3.55283431976113,0,0
44,0.598493532923015,2.81879187276851,0,0
45,1.07863862801821,1.63809626263701,0,0
46,0.752098642064931,2.22551502262607,0,0
47,1.35357612333755,2.89786544537463,0,0
48,0.569690022269115,1.55203202368455,0,0
53,0.835285258931048,1.00864599648694,0.880257024218493,0.732830678319463
54,0.673658852265069,1.58201772074222,0.84805057376206,0.977558758795869
55,0.489508371998923,1.20595505904011,0.809944054761762,1.15258597773801
56,0.539725627280243,1.48738472339644,0.89672486614595,0.902776688567433
57,1.89615280055902,3.92593882446372,0,0
58,2.25137688510108,2.99766092551732,0,0
59,2.30663290602945,3.33313956896311,0,0
60,2.39150085310128,4.10073953115086,0,0
61,0.584075325547849,1.30489194511958,0,0
64,0.523071248378024,0.647866237213561,0,0
65,0.6696335051718,1.14381932119964,0,0
66,0.666245393525454,1.84632877743717,0,0
67,0.881110061129422,1.41129063237068,0,0
68,0.620403449061803,1.15185680298502,0,0
69,1.45525063252335,2.91450261139997,0,0
70,1.83144507500008,2.77228842232467,0,0
71,1.28142173005646,2.55576179542151,0,0
72,0.682185766967639,2.54341335158392,0,0
73,1.8899664066554,2.6719586521687,0,0
74,1.72323388959212,3.40467817545376,0,0
75,0.84580958039946,2.16748732645283,0,0
76,1.55570280376235,3.78983064660282,0,0
77,2.26613619435878,2.9294510950564,0,0
78,2.19938441348602,4.5379780346389,0,0
79,1.94422007786146,2.90674062058079,0,0
80,1.20632104073565,2.65067750522104,0,0
81,2.64332082887299,5.84311178975411,0,0
82,3.08224737210732,4.76277453241011,0,0
83,2.91383084684163,7.39094554543055,0,0
84,2.22566007711984,4.67186997264773,0,0
97,0.506610777485786,1.01107125370957,0,0
98,0.712219346716094,1.47458507778855,0,0
99,0.799667262862339,1.57168836619071,0,0
100,0.649167157945223,1.65436305318798,0,0
